Sentences,Predicted Tags,Annotated by: Annotator 1,Annotated by: Annotator 2,Annotated by: Annotator 3
aap ek chidiya nahi paal sakte or baat karte ho hum pashupremi hai,"aap ek chidiya nahi paal sakte aur baat karte ho, hum pashupremi hain","Aap ek chidiya nahi paal sakte aur baat karte ho, hum pashupremi hain.","Aap ek chidiya nahi paal sakte, aur baat karte ho hum pashupremi hain.",Aap ek chidiya nahi paal sakte aur baat karte ho hum pashupremi hai.
Sir aapko pata hai me 10 saal ki umar me cooking karna suru kardiya tha ! Now I&#39;m 12 sir,"Sir aapko pata hai main 10 saal ki umar mein cooking karna shuru kiya tha! Now I'm 12, sir","Sir, aapko pata hai main 10 saal ki umar mein cooking karna shuru kiya tha! Now I'm 12, sir.",Sir aapko pata hai main 10 saal ki umar me cooking karna suru kardiya tha. Now I'm 12 sir.,Sir aapko pata hai main 10 saal ki umar mein cooking karna shuru kiya tha now I'm 12 sir.
Madamji mai musalman hu okay but mai aapse puchh raha hun agar ye log jhanda laga raha hai to isse kisiko kiya dikkat hai Aap logon ko kiya dikhana chahti hai aur samjhana chahti hain,"Madamji, main Muslim hoon, okay, but main aapse pooch raha hoon, agar ye log jhanda laga rahe hain to isse kisi ko kya dikkat hai? Aap logon ko kya dikhana chahti hain aur samjhana chahti hain.",Madamji main Muslim hun okay but main aapse poochh raha hun agar yeh log jhanda laga rahe hain toh isse kisi ko kya dikkat hai? Aap logon ko kya dikhana chahti hai aur samjhana chahti hain?,"Madamji, main Muslim hu, okay but main aapse puch raha hu, agar ye log jhanda laga rahe hai to ise kisi ko kya dikkat hai? Aap logo ko kya dikhana chahti hai aur samjhana chahti hai.","Madamji, mai musalman hu, okay. But mai aapse puchh raha hun, agar ye log jhanda laga rahe hain to isse kisiko kiya dikkat hai? Aap logon ko kiya dikhana chahti hain aur samjhana chahti hain."
"Jub beta dusron ki hattya karke ghar me maal pahunchata hoga us samay rajniti yaad nahi aye, ab encounter ho gaya rajniti ka sencer on ho gaya wah kiya baat hai,","Jab beta dusron ki hatya karke ghar me maal pahunchata hoga us samay rajniti yaad nahi aayi, ab encounter ho gaya, rajniti ka scene on ho gaya, wah kya baat hai.","Jab beta dusron ki hatya karke ghar mein maal pahunchata hoga us samay rajneeti yaad nahi aayi, ab encounter ho gaya rajneeti ka sensor on ho gaya wah kya baat hai.","Jab beta dusron ki hatya karke ghar me maal pahunchata hoga us samay rajniti yaad nahi aayi, ab encounter ho gaya, rajniti ka scene on ho gaya, wah kya baat hai.","Jab beta dusron ki hatya karke ghar me maal pahunchata hoga, us samay rajniti yaad nahi aye. Ab encounter ho gaya, rajniti ka sensor on ho gaya, wah kiya baat hai."
Sir aap bahut hi achi information dete hai or bilkul sahi bhi hoti hai information sahi hai to like,Sir aap bahut hi acchi information dete hain aur bilkul sahi bhi hai information sahi hai to like,"Sir, aap bahut hi achi information dete hai aur bilkul sahi bhi hoti hai information sahi hai toh like.",Sir aap bahut hi achi information dete hai aur bilkul sahi bhi hai information sahi hai to like.,"Sir, aap bahut hi achi information dete hain aur bilkul sahi bhi hoti hai. Information sahi hai to like."
Isliye mere gao ka nam bishunganj hai kyoki Mera gao 33 gao ka bazar hai,Isliye mere gaon ka naam Bishun Ganj hai kyunki mera gaon 33 gaon ka bazar hai,Isliye mere gaon ka naam Bishun Ganj hai kyunki mera gaon 33 gaon ka bazar hai.,"Isliye mere gaon ka naam Bishunganj hai, kyoki mera gaon 33 gaon ka bazaar hai.",Isliye mere gaon ka naam bishun ganj hai kyunki mera gaon 33 gaon ka bazar hai.
Sare rule bekar hai...kyuki koi v rule jyada din tak follow nahi hote...,Saare rules bekar hain... kyunki koi bhi rule jyada din tak follow nahi hota...,Saare rules bekar hain kyunki koi bhi rule jyada din tak follow nahi hota.,Sare rule bekar hai. Kyuki koi v rule jyada din tak follow nahi hote.,Saare rules bekar hai kyunki koi bhi rule jyada din tak follow nahi hota.
Mine jo ghar banati hu...new kuch bhi apki video se tips.leke banati hu.. Ajj mine bhi yahi daal banai hai...,Main jo ghar banati hoon...naya kuch bhi aapki video se tips leke banati hoon.. Aaj main bhi yahi dal banayi hai...,"Main jo ghar banati hoon naya kuch bhi aapki video se tips leke banati hoon, Aaj main bhi yahi daal banayi hai.","Mujhe jo ghar banati hu, new kuch bhi apki video se tips leke banati hu. Aaj mujhe bhi yahi daal banai hai.",Main jo ghar banati hoon naya kuch bhi aapki video se tips leke banati hoon aaj main bhi yahi dal banayi hai.
"Sir aap laptop ki screen share Kara kijiye, piche ki screen par kuch clear view nahi milta hai...","Sir, aap laptop ki screen share kar dijiye, peeche ki screen par kuch clear view nahi milta hai.","Sir, aap laptop ki screen share kar dijiye, peeche ki screen par kuch clear view nahi milta hai.","Sir, aap laptop ki screen share karaiye, piche ki screen par kuch clear view nahi milta hai.",Sir aap laptop ki screen share kar dijiye peeche ki screen par kuch clear view nahi milta hai.
Main soch raha hu ki agar Jhon Abraham aur Boman Irani nahi hote to B2 bombers India pr bhi bombs barsa diye hote 1999 me,Main soch raha hoon ki agar John Abraham aur Boman Irani nahi hote to B2 bombers India par bhi bombs barsa diye hote 1999 mein.,Main soch raha hoon ki agar John Abraham aur Boman Irani nahi hote to B2 bombers India par bhi bombs barsa diye hote 1999 mein.,Main soch raha hoon ki agar John Abraham aur Boman Irani nahi hote to B2 bombers India par bhi bombs barsa diye hote 1999 me.,Main soch raha hoon ki agar John Abraham aur boman Irani nahi hote to B2 bombers India par bhi bombs barsa diye hote 1999 mein.
Efforts badhke age badhna hai. Ye jyda achha lga sir.. Distractions se door rehna hai,Efforts badhke aage badhna hai. Ye jyada achha laga sir. Distractions se door rehna hai.,Efforts badhke aage badhna hai. Yeh jyada achha laga sir. Distractions se door rehna hai.,Efforts badhke age badhna hai. Ye jyada achha laga sir. Distractions se door rehna hai.,Efforts badhke aage badhna hai. Ye jyada achha laga sir distractions se door rehna hai.
Guruji ka Malik ko aur guruji bus Mera Ravindra Kumar ha aapka Aashirwad mil jaaye bus main kamyab Ho jaunga,Guruji ka Malik ko aur guruji bus Mera Ravindra Kumar hai aapka Aashirwad mil jaaye bus main kamyab ho jaunga,Guruji ka malik ko aur guruji bus mera Ravindra Kumar hai aapka aashirwad mil jaaye bas main kamyab ho jaunga.,Guruji ka malik ko aur guruji bus mera Ravindra Kumar hai aapka Aashirwad mil jaaye bus main kamyab ho jaunga.,"Guruji ka malik ko aur guruji, bus mera Ravindra Kumar hai, aapka aashirwad mil jaaye, bus main kamyab ho jaunga."
Hamesha aise hi toh pakaate ho.. isme naya kya hai samajh nai aaya...,Hamesha aise hi toh pakadte ho... isme naya kya hai samajh nahi aaya...,Humesa aise hi toh pakadte ho isme naya kya hai samajh nahi aaya.,Hamesha aise hi toh pakaate ho. Isme naya kya hai samajh nai aaya.,Hamesha aise hi toh pakadte ho isme naya kya hai samajh nahi aaya.
Mere sath Instagram me hua hai hardik chopra ne ki hai 5000 hajar,"Mere sath Instagram mein hua hai, Hardik Chopra ne 5000 hazaar kiya hai.","Mere sath Instagram mein hua hai, Hardik Chopra ne ₹5000 kiya hai.","Mere sath Instagram mein hua hai, Hardik Chopra ne 5000 hazaar kiya hai.",Mere sath Instagram main hua hai hardik chopra ne 5000 hazaar kiya hai.
Bharat mera bhai apne khane ka soda use Kiya! Aur 1kilo sumi mein Kitna khane ka soda use hote hain,Bharat mera bhai apne khane ka soda use kiya! Aur 1 kilo sum mein kitna khane ka soda use hota hai?,Bharat mera bhai apne khane ka soda use kiya! Aur 1 kilo sum mein kitna khane ka soda use hota hai?,Bharat mera bhai apne khane ka soda use kiya! Aur 1 kilo sugar mein kitna khane ka soda use hote hain.,Bharat mera bhai apne khane ka soda use kiya aur 1 kilo sum main kitna khane ka soda use hota hai?
Muje to khi baar aaya hai.... Apke naam se message Maine Aaj hi block Kiya...,Mujhe to kahi baar aaya hai... Aapke naam se message maine aaj hi block kiya...,Mujhe toh kahi baar aaya hai aapke naam se message maine aaj hi block kiya.,Mujhe to kabhi baar aaya hai. Apke naam se message maine aaj hi block kiya.,Mujhe to kahi baar aaya hai aapke naam se message maine aaj hi block kiya.
Sir me etni mjbur ho ge hu ki majduri karkebhi ap se padhana chahti hu .. geography optional ki bech me... I love this subject,"Sir, main itni majbur ho gayi hoon ki majdoori kar ke bhi aap se padhana chahti hoon... geography optional ki beech mein... I love this subject","Sir, main itni majbur ho gayi hoon ki majdoori kar ke bhi aap se padhana chahti hoon geography optional ki beech mein, I love this subject.","Sir, me itni majboor ho gi hu ki majduri karke bhi apne se padhana chahti hu. Geography optional ki behalf me. I love this subject.","Sir, main itni majbur ho gayi hoon ki majdoori kar ke bhi aap se padhana chahti hoon geography optional ki beech mein I love this subject."
Jab samay kam ho na to itne चोचले koi ni krta... phataphat bnate hai log,Jab samay kam ho na to itne चोचले koi nahi karta... phataphat banate hain log,Jab samaye kam ho na toh itne चोचले koi nahi karta phataphat banate hain log.,Jab samay kam ho na to itne चोचले koi nahi karta. Phataphat banate hain log.,Jab samay kam ho na to itne चोचले koi nahi karta phataphat banate hain log.
Ishan Bhai aap kisi b cheej ko google se bhi acha explain karte hai. Aapko toh google co. mei hona chahiye. Allah aur kamyabi de.,Ishan Bhai aap kisi bhi cheez ko Google se bhi accha explain karte hain. Aapko toh Google Co. mein hona chahiye. Allah se kamyabi de.,Ishan bhai aap kisi bhi cheej ko Google se bhi acha explain karte hai. Aapko toh google co mein hona chahiye. Allah aur kamyabi de.,Ishan bhai aap kisi bhi cheez ko Google se bhi acha explain karte hai. Aapko toh Google mein hona chahiye. Allah se kamyabi de.,"Ishan Bhai, aap kisi bhi cheez ko Google se bhi acha explain karte hain. Aapko toh Google company mei hona chahiye. Allah aur kamyabi de."
Ishan sir Google pay se Paisa transfer Karne par fail likh Diya or Paisa Kat Gaya Kya kare Please help me,"Ishan sir, Google Pay se paisa transfer karne par fail likh diya, aur paisa kat gaya. Kya kare? Please help me.",Ishan sir Google Pay se paisa transfer karne par fail likh diya aur paisa kat gaya kya kare please help me.,"Ishan sir, Google Pay se paisa transfer karne par fail likh diya, aur paisa kat gaya. Kya kare please help me.","Ishan sir, Google pay se paisa transfer karne par fail likha diya aur paisa kat gaya. Kya kare? Please help me."
Sir aapki crash course book me words ke beech me &quot;US&quot; word aata hai uska kya mean hai.,"Sir, aapki crash course book mein words ke beech mein ""US"" word aata hai, uska kya matlab hai.","Sir, aapki crash course book mein words ke beech mein ""US"" word aata hai, uska kya matlab hai.","Sir, aapki crash course book me words ke beech me 'US' word aata hai, uska kya mean hai.",Sir aapki crash course book mein words ke beech mein US word aata hai uska kya matlab hai.
Don't worry ek baar aaya to nothing lekin baar baar copyrighted content dalne dalne par bahot kuch ho sakta hai,Don't worry ek baar aaya to nothing lekin baar baar copyrighted content dalne par bahut kuch ho sakta hai,"Don't worry. Ek baar aaya toh nothing, lekin baar baar copyrighted content dalne par bahut kuchh ho sakta hai.",Don't worry ek baar aaya to nothing lekin baar baar copyrighted content dalne par bahut kuch ho sakta hai.,"Don't worry, ek baar aaya to nothing, lekin baar baar copyrighted content dalne par bahut kuch ho sakta hai."
Bharat bhai.. Plss ghevar bnana sikhao na plss.... Mujhe perfact ghevar ki recipe nahi mil rhi h....,Bharat bhai.. please ghevar banana sikhao na please.... Mujhe perfect ghevar ki recipe nahi mil rahi hai....,"Bharat bhai, please ghevar banana sikhao na please. Mujhe perfect ghevar ki recipe nahi mil rahi hai.","Bharat bhai, please ghevar banana sikhao na please. Mujhe perfect ghevar ki recipe nahi mil rahi hai.",Bharat bhai please ghevar banana sikhao na please mujhe perfect ghevar ki recipe nahi mil rahi hai.
mere bhai ek paranthe k liye itna mehnat... simple bnao tomato mat dalna... kuch extra pakane ki zroorat nhi hoti,"mere bhai ek parathe ke liye itni mehnat... simple banao, tomato mat dalna... kuch extra pakane ki zaroorat nahi hoti","Mere bhai ek parathe ke liye itni mehnat simple banao, tomato mat dalna kuchh extra pakane ki zaroorat nahi hoti.","Mere bhai, ek parathe ke liye itna mehnat. Simple banao, tomato mat dalna. Kuch extra pakane ki zaroorat nahi hoti.",mere bhai ek parathe ke liye itni mehnat simple banao tomato mat dalna kuch extra pakane ki zaroorat nahi hoti.
Mai pichhle do sal se ye paratha bna rhi hu...Ghr me sbko bahut pasand ata h....Thank u,Main pichhle do saal se ye paratha bana rahi hoon... Ghar mein sabko bahut pasand aata hai... Thank you,"Main pichhle do saal se ye paratha bana rahi hoon, ghar mein sabko bahut pasand aata hai, Thank you.",Mai pichhle do saal se ye paratha bana rahi hu. Ghar me sabko bahut pasand aata hai. Thank you.,Main pichhle do saal se ye paratha bana rahi hoon ghar mein sabko bahut pasand aata hai thank you.
Mujhe egg se problem nai hai....apk paas egg wali recipe bhi hai kya?,Mujhe egg se problem nahi hai... aapke paas egg wali recipe bhi hai kya?,Mujhe egg se problem nahi hai aapke paas egg wali recipe bhi hai kya?,Mujhe egg se problem nahi hai. Apk paas egg wali recipe bhi hai kya?,Mujhe egg se problem nahi hai aapke paas egg wali recipe bhi hai kya?
Bhai vo bahar stall Pai mungdal pakoda milta hai jo crispy rahta hai uski recipe dikhay na..,"Bhai, woh bahar stall pe mung dal pakoda milta hai jo crispy rahta hai, uski recipe dikha na.","Bhai, woh bahar stall pe mung dal pakoda milta hai jo crispy rahta hai, uski recipe dikha na.",Bhai vo bahar stall pe mungdal pakoda milta hai jo crispy rahta hai uski recipe dikhay na.,Bhai woh bahar stall pe mung dal pakoda milta hai jo crispy rahta hai uski recipe dikha na.
Sb united ho jayenge to ye leader fir kya krenge.... Dange kon krayega aapas m bantega kon,Sab united ho jayenge to ye leader fir kya karenge... Dange kaun karega aapas mein kaun?,Sab united ho jayenge toh yeh leader fir kya karenge dange kaun karega aapas mein kaun?,Sb united ho jayenge to ye leader fir kya krenge. Dange kon krayega aapas m bantega kon.,Sab united ho jayenge to ye leader fir kya karenge dange kaun karega aapas main kaun?
Sir Kya nifty or banknifty index ke liye bhi kam aati hai kya,Sir Kya Nifty or BankNifty index ke liye bhi kaam aata hai kya,Sir Kya Nifty or BankNifty index ke liye bhi kaam aata hai kya.,"Sir, kya Nifty aur Bank Nifty index ke liye bhi kam aati hai kya?",Sir kya nifty or banknifty index ke liye bhi kaam aata hai kya.
Bhai yadi mujhe credit card chahia to Kya isme option rahta hai credit ke lia apply karne ka?,Bhai yadi mujhe credit card chahiye to kya isme option hai credit ke liye apply karne ka?,Bhai yadi mujhe credit card chahiye toh kya isme option rehta hai credit ke liye apply karne ka?,Bhai yadi mujhe credit card chahiye to kya isme option hai credit ke liye apply karne ka?,"Bhai, yadi mujhe credit card chahiye to, kya isme option rehta hai credit ke liye apply karne ka?"
Abki bar Modi Sankar ho gayi bekar. Sudhar jao abhi time hai. Nahi to agli bar kar denge bahar. Voice of yor supporter.,"Abki baar Modi Sankar ho gayi bekar. Sudhar jao, abhi time hai. Nahi to agli baar kar denge bahar. Voice of your supporter.",Abki baar Modi sarkar ho gayi bekar. Sudhar jao abhi time hai nahi toh agli baar kar denge bahar. Voice of your supporter.,"Abki baar Modi sankar ho gayi bekar. Sudhar jao, abhi time hai nahi to agli baar kar denge bahar voice of your supporter.","Abki bar Modi sarkar ho gayi bekar. Sudhar jao, abhi time hai. Nahi to agli bar kar denge bahar. Voice of your supporter."
I support my country....koi bhi protest ke naam pr desh me instability nahi la skta...,I support my country... koi bhi protest ke naam par desh me instability nahi la sakta...,I support my country koi bhi protest ke naam par desh me instability nahi la sakta.,I support my country. Koi bhi protest ke naam par desh me instability nahi la sakta.,I support my country koi bhi protest ke naam par desh me instability nahi la sakta.
Aapko itna views kaise milta hai? Kuchh bhi khaas nahi hai apke video mein.,Aapko itne views kaise milte hain? Kuchh bhi khaas nahi hai aapke video mein.,Aapko itne views kaise milte hain? Kuchh bhi khaas nahi hai aapke video mein.,"Aapko itna views kaise milta hai, kuchh bhi khaas nahi hai aapke video mein.",Aapko itne views kaise milte hai Kuch bhi khaas nahi hai aapke video main.
Export kam hone par jo rupees ki value giregi uska kya,"Export kam hone par, jo rupees ki value giregi, uska kya hoga?","Export kam hone par, jo rupees ki value giregi, uska kya hoga?","Export kam hone par jo rupees ki value giregi, uska kya?",Export kam hone par jo rupees ki value giregi uska kya hoga?
Pahle se to bahut hi aacha response Mila hai is baar school me Real me bahut aacha lga ye vid dekh kr bacche log ka response bahut aacha tha,Pahle se to bahut hi accha response mila hai is baar school mein real mein bahut accha laga ye video dekh kar bachon ka response bahut accha tha.,Pehle se toh bahut hi achha response mila hai. Is baar school mein real mein bahut achha laga yeh video dekh kar. Bacchon ka response bahut achha tha.,Pahle se to bahut hi acha response mila hai is baar school mein real mein bahut acha laga ye video dekh kar bachon ka response bahut acha tha.,Pahle se to bahut hi acha response mila hai. Is baar school me real me bahut acha laga. Ye video dekh kar bacche log ka response bahut acha tha.
Pura West Bangal aur North East area bekar Ho Gaya hai ghost betiyon ki vajah se,Pura West Bengal aur North East area bekar ho gaya hai ghost betiyon ki wajah se,Pura West Bengal aur North East area bekar ho gaya hai ghost betiyon ki wajah se.,Pura West Bengal aur North East area bekar ho gaya hai ghost betiyon ki wajah se.,Pura West Bengal aur North East area bekar ho gaya hai ghost betiyon ki vajah se.
Ek bhi expressway bihar me nahi hai yah kaha ka video dikha rahe hai modiji,"Ek bhi expressway Bihar me nahi hai, yeh kaha ka video dikha rahe hain Modi ji",Ek bhi expressway Bihar mein nahi hai. Yah kahan ka video dikha rahe hain Modiji?,"Ek bhi expressway Bihar me nahi hai, yeh kaha ka video dikha rahe hain Modi ji.","Ek bhi expressway Bihar me nahi hai, yah kaha ka video dikha rahe hain Modiji."
Manish Kashyap ke aakho me bihar ka takdir our tashbir dikhta hai our ham sab bihari Manish Kashyap ke sath hai or hamesa rhege,Manish Kashyap ke aankhon mein Bihar ka takdir aur tashbir dikhta hai aur ham sab Bihari Manish Kashyap ke saath hain aur hamesha rahenge.,Manish Kashyap ke aankhon mein Bihar ka taqdeer aur tasveer dikhti hai. Aur ham sab Bihari Manish Kashyap ke saath hain aur hamesha rahenge.,Manish Kashyap ke aankhon mein Bihar ka takdir aur tashbir dikhta hai aur ham sab Bihari Manish Kashyap ke sath hai aur hamesha rahenge.,Manish Kashyap ke aankho me Bihar ka takdir aur tashbir dikhta hai aur ham sab Bihari Manish Kashyap ke sath hai aur hamesha rahege.
Bahut achye se samjha kar banaye hai great job Mai bhi try karungi..,Bahut acche se samajh kar banaya hai great job Main bhi try karungi.,Bahut acche se samajh kar banaya hai great job main bhi try karungi.,Bahut achhe se samjha kar banaya hai. Great job. Main bhi try karungi.,Bahut ache se samajh kar banaya hai great job main bhi try karungi.
App har item main dhaniya powder dalte hain....keya ye jaruri hai har item main?,Aap har item mein dhaniya powder dalte hain... kya ye zaroori hai har item mein?,Aap har item mein dhaniya powder dalte hain kya yeh zaroori hai har item mein?,App har item main dhaniya powder dalte hain. Kya ye jaruri hai har item main?,Aap har item main dhaniya powder dalte hai kya ye zaroori hai har item main.
Sir ish ginne index mein consumption ko addhar mana gaya hai app ne sahi resarch nahi kiya?.,"Sir, is the given index mein consumption ko adhaar mana gaya hai? Aap ne sahi research nahi kiya?","Sir, is the given index mein consumption ko adhaar mana gaya hai? Aap ne sahi research nahi kiya?",Sir is ginne index mein consumption ko address mana gaya hai aap ne sahi research nahi kiya?,Sir is the given index mein consumption ko adhaar mana gaya hai aap ne sahi research nahi kiya?
Aap Ka Har EK recipe awesome Hai Sar aap bahut acche se sikhate ho recipe banana thank you so much,"Aapki har ek recipe awesome hai. Sir, aap bahut acche se recipe banana sikhate ho. Thank you so much","Aapki har ek recipe awesome hai sir, aap bahut acche se recipe banana sikhate ho. Thank you so much.","Aap ka har ek recipe awesome hai, sir. Aap bahut acche se sikhate ho recipe banana. Thank you so much.",Aapki har ek recipe awesome hai sir aap bahut ache se recipe banana sikhate ho thank you so much.
aapko kukuFM par follow kia hai bht hi behtareen audios banaye hai aapne,aapko kukuFM par follow kiya hai bahut hi behtareen audio banaye hain aapne,Aapko kuku FM par follow kiya hai bahut hi behtareen audio banaye hain aapne.,"Aapko KukuFM par follow kiya hai, bht hi behtareen audios banaye hai aapne.",aapko kukuFM par follow kiya hai bahut hi behtareen audio banaye hai aapne.
"Gujarat toh theek delhi se itni doori ka,on saheb jeetne wala neta hai nahi aapke paas toh jeetego kaise.","Gujarat toh theek, Delhi se itni doori ka, aur saheb jeetne wala neta hai, nahi? Aapke paas toh jeetne ko kaise.",Gujarat toh theek hai Delhi se itni doori ka. On sahab jeetne wala neta hai nahi aapke paas toh jeetoge kaise.,"Gujarat toh theek, Delhi se itni doori ka, aur saheb jeetne wala neta hai, nahi? Aapke paas toh jeetne ko kaise.","Gujarat toh theek, Delhi se itni doori ka. On saheb, jeetne wala neta hai nahi aapke paas, toh jeetoge kaise."
Pm sir kasmiri hinduo se bhi baat karo or unko waha basao kya kasmiri hindu desh k nagrik nhi kya,"PM sir Kashmiri Hindus se bhi baat karo aur unko waha basao, kya Kashmiri Hindu desh ke nagrik nahi?",PM sir Kashmiri Hindus se bhi baat karo aur unko wahan basao kya Kashmiri Hindu desh ke nagrik nahi hain?,"PM sir Kashmiri Hindus se bhi baat karo aur unko waha basao, kya Kashmiri Hindu desh ke nagrik nahi kya?","PM sir, kasmiri hinduo se bhi baat karo aur unko waha basao. Kya kasmiri hindu desh ke nagrik nahi hain?"
Sir main myanmar se hu yaha ki halat bahut kharab hai sir,Sir main Myanmar se hoon yahan ki halat bahut kharab hai sir,"Sir, main Myanmar se hoon yahan ki halat bahut kharab hai sir.","Sir, main Myanmar se hoon, yaha ki halat bahut kharab hai, sir.",Sir main Myanmar se hoon yahan ki halat bahut kharab hai sir.
Bhai thanks Mai aapka fan Hoon aapka he video dekhte ...Mai aapka subscriber Hoon Mai aap se milna chahta Hoon please address me,"Bhai, thanks. Main aapka fan hoon, aapka hi video dekhte hoon. Main aapka subscriber hoon. Main aap se milna chahta hoon, please address me.",Bhai thanks main aapka fan hoon. Aapke hi video dekhte hain. Main aapka subscriber hoon main aap se milna chahta hoon please address do.,"Bhai, thanks main aapka fan hu, aapka hi video dekhte hu. Main aapka subscriber hu. Main aap se milna chahta hu, please address me.","Bhai, thanks. Main aapka fan hoon. Aapke hi video dekhta hoon. Main aapka subscriber hoon. Main aap se milna chahta hoon. Please address me."
Sir Ap achhi cook hai.... Lekin Ap n hi Kathi humane Mag dehte hai or na hi Kathi reply dete hai,Sir aap achhi cook hain.... Lekin aap na hi Kathi humse maang dete hain aur na hi Kathi reply dete hain,Sir aap achhi cook hain lekin aap na hi Kabhi humse maang dete hain aur na hi kabhi reply dete hain.,"Sir, ap achhi cook hai. Lekin ap na hi Kathi hume mag dete hai or na hi Kathi reply dete hai.",Sir aap achhi cook hai lekin aap na hi Kathi humse maang dete hain aur na hi Kathi reply dete hai.
Bhaiya you are superbb ... Kya compound stock market mai kar sakte hai..,Bhaiya you are super ... Kya compound stock market mai kar sakte hain?,Bhaiya you are super kya compound stock market mei kar sakte hain?,"Bhaiya, you are superb. Kya compound stock market mai kar sakte hain?",Bhaiya you are super kya compound stock market mai kar sakte hain?
"2 gante se lg rahi thi bnane isse to achha roti sbji bn jati ,2 pese ki nhi bni","2 gante se lag rahi thi banane, isse to accha roti sabzi ban jati, 2 paise ki nahi bani.","2 ghante se lag rahi thi banane, esse toh accha roti sabzi ban jaati, 2 paise ki nahi bani.","2 ghante se lag rahi thi banane, isse to achha roti sabji ban jati, 2 paise ki nahi bani.","2 gante se lag rahi thi banane, isse to accha roti sabzi ban jati 2 paise ki nahi bani."
Aap bahut hi ache se samjhatw ho Bharat ji. Best part to create fans like me....,"Aap bahut hi acche se samajhte ho, Bharat ji. Best part is to create fans like me...","Aap bahut hi acche se samajhte ho, Bharat ji. Best part is to create fans like me.",Aap bahut hi ache se samjhatw hain Bharat ji. Best part to create fans like me.,Aap bahut hi ache se samajhte ho bharat ji best part is to create fans like me.
bhai point ke baat karly kya kuch bhi baky jara hai illogical video mat banao,"bhai, point ki baat kar le, kya kuch bhi baki zara hai, illogical video mat banao","Bhai, point ki baat kar le, kya kuch bhi baki zara hai, illogical video mat banao.","Bhai, point ke baat karlo, kya kuch bhi bakwaas hai, illogical video mat banao.",Bhai point ki baat kar le kya kuch bhi baki zara hai illogical video mat banao.
Sir you are the best the best filhal me aur meri beti seekh rahe hai apka course dekh ke..,"Sir you are the best, filhal main aur meri beti seekh rahe hain aapka course dekh kar.","Sir you are the best, filhal main aur meri beti seekh rahe hain aapka course dekh kar.","Sir, you are the best. Filhal me aur meri beti seekh rahe hain apka course dekh ke.",Sir you are the best filhal main aur meri beti seekh rahe hai aapka course dekh kar.
But sir India me koon sa mause ya electric products hai maximum to out of India hai to es condition me kya kare ?,"But sir, India mein kaun se mouse ya electric products hain, maximum out of India hain, to is condition mein kya karein?","But sir, India mein kaun se mouse ya electric products hain, maximum out of India hain, toh es condition mein kya karein?","But sir, India me kaun sa mouse ya electric product hai, maximum to out of India hai, to is condition me kya karein?",But sir India me kaun se mouse ya electric products hai maximum to out of India hai to is condition me kya kare?
Video achha laga to dokko bhai Ishan sir ka video hai jabardust to hogi na .,Video accha laga to dokko bhai Ishan sir ka video hai jabardast to hogi na.,Video achha laga toh dekho bhai Ishan sir ka video hai jabardust toh hogi na .,Video acha laga to dokko bhai Ishan sir ka video hai jabardast to hogi na.,Video achha laga to dhikko bhai Ishan sir ka video hai jabardast to hogi na.
Ishan bhai Kahan chale gye the ap ? Sir video eidt karke awaz me echo lagana hai kese lagay please Bataden Thank you,"Ishan bhai, kahaan chale gaye the aap? Sir, video edit karke awaz mein echo lagana hai, kaise lagaye? Please batadein. Thank you.",Ishan bhai kahan chale gaye the aap? Sir video edit karke awaaz mein echo lagana hai kaise lagayen please bata dein. Thank you.,"Ishan bhai, kahaan chale gaye the aap? Sir, video edit karke awaz mein echo lagana hai kaise lagaye? Please batadein. Thank you.","Ishan bhai, kahan chale gye the aap? Sir, video edit karke awaz me echo lagana hai, kese lagay? Please bataden. Thank you."
Sahi kaha sir ager 1lakh se mahine ka 10000 nikal de to bhi badiya hai,"Sahi kaha sir, agar 1 lakh se mahine ka 10000 nikal de to bhi badiya hai.","Sahi kaha sir, agar 1 lakh se mahine ka ₹10000 nikal de toh bhi badiya hai.`","Sahi kaha sir, agar 1 lakh se mahine ka 10,000 nikal de to bhi badiya hai.",Sahi kaha sir agar 1 lakh se mahine ka 10000 nikal de to bhi badiya hai.
Listing ke din bench to sakte hena ... Kon long-term hold karna chahta he...,Listing ke din bech sakte hain ... Kaun long-term hold karna chahta hai ...,Listing ke din bech sakte hain Kaun long-term hold karna chahta hai.,Listing ke din bench to sakte hain. Kon long-term hold karna chahta hai.,Listing ke din bech sakte hain kaun long-term hold karna chahta hai.
"12000 rs ka ek apple ka stock hai, 1000 rs me kya dogey sir aap","12000 rs ka ek apple ka stock hai, 1000 rs me kya doge sir aap","₹12000 ka ek apple ka stock hai, ₹1000 me kya doge sir aap.","12000 rs ka ek Apple ka stock hai, 1000 rs me kya doge sir aap?","12000 rs ka ek apple ka stock hai, 1000 rs me kya doge sir aap."
Really sir aapse kafii motivation milta hai or video se bahut help bhi hoti hai,Really sir aapse kaafi motivation milta hai aur video se bahut help bhi hoti hai,Really sir aapse kaafi motivation milta hai aur video se bahut help bhi hoti hai.,"Really sir, aapse kaafi motivation milta hai, aur video se bahut help bhi hoti hai.",Really sir aapse kaafi motivation milta hai aur video se bahut help bhi hoti hai.
